(1, 12)
(2, 12)
(3, 12)
(4, 12)
(5, 12)
(6, 12)
(1, 11)
(2, 11)
(3, 11)
(4, 11)
(5, 11)
(6, 11)
(6, 10)
(5, 10)
(4, 10)
(3, 10)
(2, 10)
(1, 10)
(1, 9)
(2, 9)
(3, 9)
(4, 9)
(5, 9)
(6, 9)
(6, 8)
(5, 8)
(4, 8)
(3, 8)
(2, 8)
(1, 8)
(1, 7)
(2, 7)
(3, 7)
(4, 7)
(5, 7)
(6, 7)
(6, 4)
(5, 4)
(4, 4)
(3, 4)
(2, 4)
(1, 4)
(1, 5)
(2, 5)
(3, 5)
(4, 5)
(5, 5)
(6, 5)
(6, 6)
(5, 6)
(4, 6)
(3, 6)
(2, 6)
(1, 6)
(7, 9)
(7, 8)
(8, 9)
(8, 8)
(9, 9)
(9, 8)
(10, 9)
(10, 8)
(9, 7)
(10, 7)
(9, 12)
(9, 11)
(10, 12)
(10, 11)
(9, 10)
(10, 10)
(9, 15)
(9, 14)
(10, 15)
(10, 14)
(9, 13)
(10, 13)
(9, 16)
(10, 16)
(8, 14)
(8, 15)
(7, 14)
(7, 15)
(6, 14)
(6, 15)
(10, 18)
(11, 18)
(9, 18)
(8, 18)
(10, 19)
(11, 19)
(9, 19)
(8, 19)
(10, 20)
(11, 20)
(9, 20)
(8, 20)
(10, 17)
(11, 17)
(9, 17)
(8, 17)
(14, 15)
(13, 15)
(15, 15)
(14, 11)
(13, 11)
(15, 11)
(14, 12)
(13, 12)
(15, 12)
(14, 13)
(13, 13)
(15, 13)
(14, 14)
(13, 14)
(15, 14)
(9, 6)
(10, 6)
(11, 6)
(8, 6)
(9, 5)
(10, 5)
(11, 5)
(8, 5)
(9, 4)
(10, 4)
(11, 4)
(8, 4)
(9, 3)
(10, 3)
(11, 3)
(8, 3)
(12, 5)
(12, 4)
(13, 5)
(13, 4)
(11, 12)
(11, 11)
(12, 12)
(12, 11)
(14, 16)
(13, 16)
(15, 16)
(14, 10)
(13, 10)
(15, 10)
(12, 18)
(12, 19)
(13, 18)
(13, 19)
(14, 18)
(14, 19)
(15, 18)
(15, 19)
(16, 18)
(16, 19)
(17, 18)
(17, 19)
(18, 18)
(18, 19)
(19, 18)
(19, 19)
(20, 18)
(20, 19)
(14, 5)
(14, 4)
(15, 5)
(16, 4)
(14, 6)
(15, 6)
(14, 3)
(15, 3)
(14, 2)
(15, 2)
(14, 7)
(15, 7)
(14, 8)
(15, 8)
(13, 7)
(13, 8)
(16, 7)
(16, 8)
(17, 7)
(17, 8)
(18, 7)
(18, 8)
(19, 7)
(19, 8)
(20, 7)
(20, 8)
(21, 7)
(21, 8)
